"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","Favoriter","SA0AZS-1|Solna 1|Solna 2|Stockholm 1|ATV Talkback|Sandhamn X-link|APRS VA|APRS Mute|APRS Open|U294-TS1|U294-TS2|U294 PL 123.0|BRK","434.46250|145.76250|434.85000|145.62500|144.75000|434.37500|144.80000|144.80000|144.80000|433.68750|433.68750|433.67500|460.97500","434.46250|145.16250|432.85000|145.02500|144.75000|434.37500|144.80000|144.80000|144.80000|433.68750|433.68750|433.67500|450.97500","SA0AZS-1","434.46250","434.46250","Solna 2","434.85000","432.85000","0"
"2","SM0","Brandbergen|Brottby 1|Brottby 2|Dalaro|Haninge 1|Haninge 2|Haninge 3|Huddinge|Ingaro 1|Ingaro 2|Johanneshov|Farsta|Norrtalje|Nynashamn 1|Nynashamn 2|Nynashamn 3|Nynashamn 4|Nynashamn 5|Nynashamn 6|Sigtuna|Solna 1|Solna 2|Stockholm 1|Stockholm 2|Stockholm City|Stockholm Norr|Soder|Tullinge|Tyreso|Taby 1|Taby 2|Upplands Vasby 1|Upplands Vasby 2|Vallentuna 1|Varmdo|Vastberga 1|Vastberga 2|Almsta 1|Almsta 2","434.56250|145.65000|434.80000|434.83750|145.68750|434.75000|434.77500|434.60000|145.22500|145.77500|434.92500|145.57500|434.81250|145.71250|434.61250|434.65000|434.71250|145.73750|434.91250|434.88750|145.76250|434.85000|145.62500|145.72500|434.96250|145.78750|434.72500|145.66250|434.51250|434.70000|434.73750|434.67500|434.76250|434.86250|434.97500|145.60000|434.90000|145.73750|434.60000","432.56250|145.05000|432.80000|432.83750|145.08750|432.75000|432.77500|432.60000|145.22500|145.17500|432.92500|144.97500|432.81250|145.11250|432.61250|432.65000|432.71250|145.13750|432.91250|432.88750|145.16250|432.85000|145.02500|145.12500|432.96250|145.18750|432.72500|145.06250|432.51250|432.70000|432.73750|432.67500|432.76250|432.86250|432.97500|145.00000|432.90000|145.13750|432.60000","Solna 2","434.85000","432.85000","Stockholm 1","145.62500","145.02500","0"
"3","SM1","Endre|Slite","145.77500|434.60000","145.17500|432.60000","Endre","145.77500","145.17500","Endre","145.77500","145.17500","0"
"4","SM2","Arjeplog|Boden 1|Boden 2|Burtrask|Kalix 1|Kalix 2|Kalix 3|Kalix 4|Kiruna 1|Kiruna 2|Kiruna 3|Kristineberg|Lulea 1|Lulea 2|Pitea 1|Pitea 2|Pitea 3|Seskaro|Skelleftea 1|Skelleftea 2|Skelleftea 3|Sorsele|Storuman 1|Umea|Vindeln|Vannas 1|Vannas 2|Vannas 3|Alvsbyn","145.70000|145.62500|434.80000|434.95000|145.72500|434.72500|434.75000|434.98750|145.62500|434.51250|434.82500|145.67500|145.65000|434.90000|145.60000|434.60000|434.85000|145.67500|145.70000|145.58750|434.67500|145.60000|145.72500|145.65000|145.62500|145.72500|434.72500|434.97500|145.67500","145.10000|145.02500|432.80000|432.95000|145.12500|432.72500|432.75000|432.98750|145.02500|432.51250|432.82500|145.07500|145.05000|432.90000|145.00000|432.60000|432.85000|145.07500|145.10000|144.98750|432.67500|145.00000|145.12500|145.05000|145.02500|145.12500|432.72500|432.97500|145.07500","Arjeplog","145.70000","145.10000","Arjeplog","145.70000","145.10000","0"
"5","SM3","Bollnas 2|Borgsjo|Forsa 1|Forsa 2|Forsa 3|Follinge|Gavle 1|Gavle 2|Hoting|Hudiksvall 1|Hudiksvall 2|Harnosand|Kramfors|Krokom|Nordingra 1|Nordingra 2|Nyland 1|Nyland 2|Sandviken 1|Sandviken 3|Solleftea 1|Solleftea 2|Sundsvall 1|Sundsvall 3|Sundsvall 4|Svedja|Soderhamn 2|Soderhamn 4|Areskutan|Arsunda|Ornskoldsvik 1|Ornskoldsvik 2|Ornskoldsvik 3|Osterfarnebo|Ostersund 1|Ostersund 2|Ostersund 3|Ostersund 4","145.65000|145.70000|145.61250|145.67500|434.67500|434.52500|434.70000|434.87500|145.60000|145.71250|434.57500|434.72500|434.60000|434.97500|145.62500|434.85000|145.75000|434.95000|145.70000|434.82500|145.65000|434.92500|145.72500|434.80000|434.98750|145.60000|145.75000|434.75000|145.72500|434.65000|145.57500|145.77500|434.87500|434.65000|145.75000|145.78750|434.56250|434.75000","145.05000|145.10000|145.01250|145.07500|432.67500|432.52500|432.70000|432.87500|145.00000|145.11250|432.57500|432.72500|432.60000|434.97500|145.02500|432.85000|145.15000|433.35000|145.10000|432.82500|145.05000|432.92500|145.12500|432.80000|432.98750|145.00000|145.15000|433.15000|145.12500|436.25000|144.97500|145.17500|432.87500|432.65000|145.15000|145.17850|432.56250|432.75000","Bollnas 2","145.65000","145.05000","Bollnas 2","145.65000","145.05000","0"
"6","SM4","Arvika 1|Arvika 2|Borlange 1|Borlange 2|Falun 1|Falun 2|Garphyttan|Grums|Grangesberg|Karlskoga 1|Karlskoga 2|Kopparberg|Lindesberg 1|Lindesberg 2|Ludvika 1|Ludvika 2|Mora|Nusnas|Nyhammar|Orsa 1|Orsa 2|Smedjebacken|Sunne 1|Sunne 2|Salen|Torsby|Vansbro 1|Vansbro 2|Vansbro 3|Arjang|Orebro 1|Orebro 2","434.77500|434.97500|434.80000|434.85000|145.62500|434.62500|145.65000|434.72500|145.35000|145.75000|434.80000|145.60000|145.68750|145.30000|145.72500|434.72500|434.70000|434.92500|145.32500|145.75000|434.75000|434.63750|145.77500|432.50000|145.60000|434.62500|145.65000|434.65000|434.66250|145.72500|145.71250|434.72500","432.77500|432.97500|432.80000|432.85000|145.25000|432.62500|145.05000|432.72500|145.35000|145.15000|432.80000|145.00000|145.08750|145.30000|145.12500|433.12500|432.70000|432.92500|145.32500|145.15000|433.15000|432.63750|145.17500|432.50000|145.00000|432.62500|145.05000|433.05000|432.66250|145.12500|145.11250|432.72500","Arvika 1","434.77500","432.77500","Arvika 1","434.77500","432.77500","0"
"7","SM5","Arboga 1|Arboga 2|Eskilstuna 1|Eskilstuna 2|Eskilstuna 3|Eskilstuna 4|Finspang 1|Finspang 2|Flen 1|Flen 2|Flen 3|Kisa|Knivsta|Linkoping 1|Linkoping 2|Linkoping 3|Linkoping 4|Linkoping 5|Linkoping 6|Linkoping 7|Motala|Norrkoping 1|Norrkoping 2|Norrkoping 3|Norrkoping 4|Norrkoping 5|Nykoping|Sala|Trosa|Uppsala 1|Uppsala 2|Uppsala 3|Uppsala 4|Uppsala 5|Uppsala 6|Vasteras 1|Vasteras 2|Atvidaberg","145.67500|434.87500|145.58750|145.61250|434.85000|434.97500|434.92500|434.81250|145.63750|145.76250|434.75000|145.70000|434.52500|145.62500|145.72500|145.78750|434.51250|434.80000|434.82500|434.87500|145.73750|145.23750|145.60000|434.60000|434.95000|434.66250|434.63750|145.71250|434.88750|145.58750|145.75000|434.51250|434.58750|434.63750|433.45000|145.77500|434.77500|145.66250","145.07500|432.87500|144.98750|145.01250|432.85000|432.97500|432.92500|432.81250|145.03750|145.16250|432.75000|145.10000|432.52500|145.02500|145.12500|145.18750|432.51250|432.80000|432.82500|432.87500|145.18750|145.23750|145.00000|432.60000|432.95000|432.66250|432.63750|145.11250|432.88750|144.98750|145.15000|432.51250|432.58750|432.63750|433.45000|145.17500|432.77500|145.06250","Arboga 1","145.67500","145.07500","Arboga 1","145.67500","145.07500","0"
"8","SM6 Gbg","Angered|Floda|Goteborg 1|Goteborg 2|Goteborg 3|Goteborg 4|Goteborg 5|Goteborg 6|Hono|Kortedala 1|Kortedala 2|Kungsbacka 1|Kungsbacka 2|Kungsbacka 3|Kungalv 1|Kungalv 2|Kungalv 3|Lunden|Molndal 1|Molndal 2|Ytterby|Amal|Ockero 1|Ockero 2","434.92500|434.82500|144.67500|145.65000|434.65000|434.67500|434.78750|434.97500|144.62500|144.60000|145.58750|144.65000|145.72500|434.72500|145.61250|434.73750|434.90000|145.78750|145.70000|434.70000|145.78750|434.60000|145.75000|434.85000","432.92500|432.82500|144.67500|145.05000|432.65000|432.67500|432.78750|432.97500|144.62500|144.60000|144.98750|144.65000|145.12500|432.72500|145.01250|432.73750|432.90000|145.18750|145.10000|432.70000|145.18750|432.60000|145.15000|432.85000","Angered","434.92500","432.92500","Angered","434.92500","432.92500","0"
"9","SM6 Ovriga","Bengtsfors 1|Bengtsfors 2|Bokenas|Boras 1|Boras 2|Boras 3|Dingle|Falkenberg|Halmstad 1|Halmstad 2|Halmstad 3|Karlsborg|Kinnekulle 1|Kinnekulle 2|Lysekil|Mariestad|Myggenas|Skara 1|Skara 2|Skara 3|Skene 1|Skene 2|Skovde 1|Skovde 2|Stenungsund 1|Stenungsund 2|Tanumshede|Tidaholm|Torup|Trollhattan 1|Trollhattan 2|Trollhattan 3|Uddevalla 1|Uddevalla 2|Ulricehamn 1|Ulricehamn 2|Varberg 1|Varberg 2|Ytterby|Amal|Alvangen","145.70000|434.68750|145.60000|145.77500|434.55000|434.80000|434.88750|145.62500|145.67500|434.75000|434.92500|145.76250|145.60000|434.95000|434.80000|434.90000|144.66250|145.72500|434.56250|434.98750|145.60000|434.95000|145.68750|434.82500|145.71250|434.56250|145.57500|145.63750|434.88750|145.76250|434.72500|434.87500|145.73750|434.77500|145.67500|434.67500|145.70000|434.70000|145.78750|434.60000|434.75000","145.10000|432.68750|145.00000|145.17500|432.55000|432.80000|432.88750|145.02500|145.07500|432.75000|432.92500|145.16250|145.00000|432.95000|432.80000|432.90000|144.66250|145.12500|432.56250|432.98750|145.00000|432.95000|145.08750|432.82500|145.11250|432.56250|144.97500|145.03750|432.88750|145.16250|432.72500|432.87500|145.13750|432.77500|145.07500|432.67500|145.10000|433.10000|145.18750|432.60000|432.75000","Bengtsfors 1","145.70000","145.10000","Bengtsfors 1","145.70000","145.10000","0"
"10","SM7 Skane","Bjarnum|Blentarp 1|Blentarp 2|Eslov 1|Eslov 2|Gladsax 1|Gladsax 2|Hallandsas|Helsingborg 1|Helsingborg 2|Helsingborg 3|Hassleholm|Hoor|Kristianstad 1|Kristianstad 2|Lund 1|Lund 2|Lund 3|Lonsboda|Malmo 1|Malmo 2|Sjobo|Tomelilla|Vitaby|Orkelljunga","434.95000|145.67500|434.85000|434.70000|434.81250|145.57500|434.88750|145.78750|145.65000|434.60000|434.65000|145.76250|434.91250|145.73750|434.52500|145.77500|434.58750|434.72500|434.90000|434.61250|434.77500|434.92500|434.63750|145.61250|434.97500","432.95000|145.07500|432.85000|432.70000|432.81250|144.97500|432.88750|145.18750|145.05000|432.60000|432.65000|145.16250|432.91250|145.13750|432.52500|145.17500|432.58750|432.72500|433.30000|432.61250|432.77500|432.92500|432.63750|145.01250|432.97500","Bjarnum","434.95000","432.95000","Bjarnum","434.95000","432.95000","0"
